Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR
D1;25.09.2011;13;9;2;1;H;1;1;D;23;8;6;3;22;17;8;3;2;4;0;2
D1;30.09.2011;14;11;0;2;A;0;0;D;22;11;3;5;16;16;9;4;2;1;0;0
D1;01.10.2011;1;3;4;0;H;2;0;H;19;8;9;3;12;14;3;3;2;2;0;0
D1;01.10.2011;4;16;1;0;H;1;0;H;8;19;3;6;23;17;5;7;2;2;0;0
D1;01.10.2011;9;5;3;0;H;3;0;H;10;4;3;2;15;19;3;5;2;2;0;0
D1;01.10.2011;8;15;0;0;D;0;0;D;17;5;5;2;19;26;6;2;1;4;0;0
D1;01.10.2011;18;6;3;1;H;1;0;H;20;7;9;1;17;20;6;4;1;2;0;0
D1;01.10.2011;10;17;3;3;D;2;2;D;9;16;5;7;14;19;2;4;2;0;0;0
D1;02.10.2011;2;12;1;2;A;1;1;D;17;9;6;4;18;16;5;5;3;1;0;0
D1;02.10.2011;7;13;3;2;H;2;1;H;13;17;5;3;22;12;3;1;5;3;0;1
D1;14.10.2011;13;1;0;2;A;0;1;A;24;9;5;5;16;19;11;3;1;1;0;1
D1;15.10.2011;15;9;4;0;H;3;0;H;19;3;8;0;8;13;3;2;0;1;0;0
D1;15.10.2011;17;3;0;1;A;0;0;D;18;10;5;6;19;18;9;4;3;2;0;0
D1;15.10.2011;16;18;2;2;D;0;1;A;23;7;8;4;6;20;4;3;2;4;0;1
D1;15.10.2011;12;14;1;2;A;0;1;A;14;14;4;6;14;21;4;5;3;3;1;1
D1;15.10.2011;11;8;2;0;H;0;0;D;14;15;7;5;22;26;3;3;3;1;0;0
D1;15.10.2011;6;10;2;1;H;1;0;H;12;12;5;6;20;24;1;3;2;2;0;0
D1;16.10.2011;5;7;2;0;H;1;0;H;10;12;3;6;22;17;1;5;3;4;0;0
D1;16.10.2011;4;2;1;2;A;0;1;A;18;11;6;4;16;22;7;2;1;3;0;0
D1;21.10.2011;3;13;1;1;D;0;0;D;10;22;3;7;16;11;4;7;3;2;0;0
D1;22.10.2011;1;5;5;0;H;3;0;H;24;2;9;1;13;10;2;3;2;2;0;0
D1;22.10.2011;2;6;1;1;D;0;1;A;19;8;7;4;23;24;8;4;2;1;0;0
D1;22.10.2011;9;17;0;0;D;0;0;D;8;13;1;3;10;21;3;3;1;3;0;0
D1;22.10.2011;8;16;1;0;H;0;0;D;14;7;5;1;18;15;8;2;1;3;0;0
D1;22.10.2011;14;4;1;0;H;0;0;D;12;9;5;3;18;15;6;4;0;4;0;0
D1;22.10.2011;10;11;2;2;D;1;0;H;17;13;7;2;14;14;4;4;1;2;0;0
D1;23.10.2011;7;15;2;1;H;1;0;H;12;19;3;8;19;13;2;5;4;1;1;1
D1;23.10.2011;18;12;0;1;A;0;0;D;13;18;4;6;14;21;3;3;1;3;0;0
D1;28.10.2011;4;18;0;1;A;0;1;A;21;11;8;3;21;13;6;2;1;0;0;0
D1;29.10.2011;15;10;4;0;H;3;0;H;13;4;5;2;14;14;7;3;1;2;0;0
D1;29.10.2011;17;13;1;3;A;1;1;D;16;13;6;5;23;20;10;0;2;4;0;0
D1;29.10.2011;16;7;2;1;H;1;1;D;18;14;8;2;14;16;5;5;0;3;0;0
D1;29.10.2011;12;8;3;1;H;1;0;H;16;11;10;2;20;20;5;4;1;2;0;0
D1;29.10.2011;11;1;1;1;D;1;1;D;12;15;6;6;18;13;6;7;3;2;0;0
D1;29.10.2011;6;9;2;3;A;1;2;A;17;12;5;7;24;13;6;7;3;2;0;0
D1;30.10.2011;5;3;3;0;H;2;0;H;5;15;3;5;17;13;1;2;1;2;0;1
D1;30.10.2011;2;14;1;1;D;0;1;A;16;11;5;5;18;23;4;3;2;2;1;0
D1;04.11.2011;17;11;3;1;H;0;0;D;15;18;9;7;18;16;4;6;2;3;1;1
D1;05.11.2011;1;6;5;1;H;2;0;H;21;6;11;3;12;18;8;6;1;4;0;0
D1;05.11.2011;9;16;1;2;A;1;1;D;11;12;3;5;18;14;5;4;0;2;0;0
D1;05.11.2011;8;14;1;1;D;1;0;H;11;19;3;3;23;21;4;3;5;1;0;0
D1;05.11.2011;18;2;2;2;D;2;1;H;15;14;5;3;18;17;5;4;2;1;0;0
D1;05.11.2011;10;4;1;2;A;1;1;D;12;10;4;3;14;20;5;2;4;1;0;0
D1;05.11.2011;13;5;3;2;H;0;2;A;29;5;7;4;13;14;10;4;3;3;0;1
D1;06.11.2011;3;15;1;2;A;0;2;A;10;14;2;5;17;15;1;3;1;2;0;1
D1;06.11.2011;7;12;2;2;D;1;1;D;16;13;2;7;14;17;2;5;2;4;0;0
D1;18.11.2011;14;18;0;2;A;0;0;D;13;14;3;8;12;16;8;2;1;1;0;0
D1;19.11.2011;15;1;0;1;A;0;0;D;16;8;3;2;15;25;3;3;2;1;0;0
D1;19.11.2011;4;9;2;2;D;0;2;A;13;14;6;7;19;19;6;4;2;5;0;0
D1;19.11.2011;16;13;5;0;H;3;0;H;16;10;9;2;11;10;6;4;0;0;0;1
D1;19.11.2011;12;10;4;0;H;2;0;H;11;14;7;4;13;16;4;8;2;3;0;0
D1;19.11.2011;6;7;4;1;H;2;1;H;14;7;8;2;18;12;9;8;1;2;0;1
D1;20.11.2011;2;8;2;0;H;1;0;H;18;19;7;8;17;15;6;3;0;3;0;0
D1;20.11.2011;11;3;2;1;H;1;0;H;11;15;5;6;24;18;5;4;2;3;0;0
D1;25.11.2011;5;16;0;3;A;0;2;A;5;15;2;7;14;10;6;2;1;1;0;0
D1;26.11.2011;3;6;2;0;H;0;0;D;14;7;5;0;16;27;7;4;3;3;0;0
D1;26.11.2011;1;12;2;0;H;1;0;H;16;3;8;1;24;24;3;2;1;4;0;0
D1;26.11.2011;7;2;1;1;D;0;0;D;11;18;9;7;14;21;4;8;2;2;0;0
D1;26.11.2011;9;18;3;3;D;2;1;H;10;18;6;8;18;14;1;5;1;2;0;0
D1;26.11.2011;8;4;1;1;D;1;0;H;15;14;3;7;19;18;4;1;2;3;0;0
D1;26.11.2011;10;14;1;0;H;1;0;H;13;6;6;1;21;25;6;1;4;1;0;0
D1;27.11.2011;17;15;3;2;H;1;0;H;17;13;7;8;18;20;3;2;3;2;0;0
D1;27.11.2011;13;11;2;0;H;0;0;D;14;14;6;5;19;21;4;5;1;4;0;0
D1;02.12.2011;18;8;2;0;H;1;0;H;12;6;5;1;12;28;4;7;2;2;0;0
D1;03.12.2011;15;13;4;1;H;1;0;H;14;7;4;4;23;21;8;4;1;2;0;1
D1;03.12.2011;4;7;1;1;D;0;1;A;15;12;5;4;12;20;5;4;1;2;0;0
D1;03.12.2011;14;9;1;1;D;1;1;D;21;6;4;3;18;16;5;0;3;1;0;0
D1;03.12.2011;16;1;1;1;D;0;1;A;13;11;3;4;9;18;3;10;0;2;0;0
D1;03.12.2011;11;5;2;2;D;2;1;H;18;10;8;4;12;20;8;2;3;4;0;0
D1;03.12.2011;6;17;2;2;D;2;0;H;6;11;4;2;15;18;6;3;2;1;1;0
D1;04.12.2011;2;10;2;0;H;1;0;H;7;16;3;3;17;17;0;3;3;1;0;0
D1;04.12.2011;12;3;3;1;H;1;0;H;19;11;11;2;11;13;8;2;1;2;0;0
D1;09.12.2011;9;12;1;2;A;1;2;A;15;11;4;4;13;16;11;3;0;1;0;0
D1;10.12.2011;3;16;1;0;H;0;0;D;11;13;5;5;22;22;5;4;3;2;0;0
D1;10.12.2011;5;4;4;0;H;1;0;H;14;11;6;5;9;12;4;2;1;2;0;0
D1;10.12.2011;7;18;0;0;D;0;0;D;17;12;4;4;22;18;9;3;0;2;0;0
D1;10.12.2011;17;2;0;0;D;0;0;D;12;8;5;5;16;11;4;5;1;0;0;0
D1;10.12.2011;10;8;0;2;A;0;1;A;8;15;3;6;19;14;4;10;3;3;1;1
D1;10.12.2011;13;6;4;1;H;2;0;H;20;17;11;6;17;19;2;7;1;3;0;0
D1;11.12.2011;1;14;1;1;D;1;0;H;23;12;5;3;12;25;9;4;1;2;0;0
D1;11.12.2011;11;15;1;2;A;1;1;D;6;18;2;5;16;10;3;6;3;4;1;0
D1;13.12.2011;5;17;1;1;D;0;0;D;12;12;3;2;11;27;4;7;2;4;0;0
D1;16.12.2011;15;5;3;0;H;0;0;D;17;4;5;1;15;17;10;3;0;4;1;0
D1;17.12.2011;4;1;1;4;A;1;2;A;14;11;3;5;14;11;3;3;1;1;0;0
D1;17.12.2011;2;3;1;1;D;0;0;D;23;11;12;6;11;18;8;0;1;0;0;0
D1;17.12.2011;8;9;1;1;D;1;0;H;16;9;5;1;19;9;5;4;4;1;1;1
D1;17.12.2011;18;10;0;3;A;0;2;A;13;11;6;4;17;16;6;3;0;1;0;0
D1;17.12.2011;12;13;5;0;H;2;0;H;15;10;8;1;13;10;4;4;2;2;0;0
D1;17.12.2011;6;11;1;0;H;0;0;D;19;12;7;5;26;16;6;7;3;2;0;0
D1;18.12.2011;14;7;1;1;D;0;1;A;19;8;7;1;13;11;6;0;1;2;1;0
D1;18.12.2011;16;17;1;0;H;1;0;H;6;12;3;5;16;20;5;4;3;3;0;0
D1;20.01.2012;16;15;3;1;H;2;0;H;9;17;5;7;11;13;4;8;1;0;0;0
D1;21.01.2012;4;3;1;0;H;0;0;D;15;4;6;1;13;25;5;2;1;3;0;0
D1;21.01.2012;8;7;0;0;D;0;0;D;10;9;3;1;14;22;0;4;1;1;0;0
D1;21.01.2012;14;13;0;0;D;0;0;D;19;14;5;6;22;16;4;2;2;3;0;0
D1;21.01.2012;10;9;2;0;H;1;0;H;10;12;5;2;16;18;4;5;1;2;0;0
D1;21.01.2012;12;11;3;1;H;1;0;H;14;13;7;6;9;10;8;6;1;1;0;0
D1;21.01.2012;6;5;1;0;H;0;0;D;18;10;6;2;14;11;15;1;1;2;0;0
D1;22.01.2012;2;1;1;5;A;0;2;A;9;22;3;9;19;9;8;5;1;0;0;0
D1;22.01.2012;18;17;3;2;H;2;0;H;9;17;2;6;16;14;5;6;1;0;0;0
D1;27.01.2012;7;10;1;0;H;1;0;H;13;10;3;1;21;17;8;1;3;2;0;0
D1;28.01.2012;3;14;2;2;D;1;1;D;15;15;5;8;13;17;3;4;2;4;0;0
D1;28.01.2012;15;6;2;0;H;0;0;D;9;8;7;0;15;20;4;4;1;2;0;0
D1;28.01.2012;1;8;3;1;H;2;0;H;18;8;9;5;13;23;6;2;1;4;0;0
D1;28.01.2012;5;12;1;4;A;1;0;H;8;14;3;5;12;22;4;1;1;2;1;0
D1;28.01.2012;9;2;1;2;A;0;2;A;18;13;3;5;19;30;6;7;3;1;0;0
D1;28.01.2012;13;18;1;1;D;1;0;H;16;13;4;7;18;16;4;6;3;2;0;0
D1;29.01.2012;17;4;3;1;H;3;0;H;18;5;10;1;18;19;4;3;2;2;0;1
D1;29.01.2012;11;16;0;3;A;0;1;A;14;18;5;8;11;14;6;1;0;1;0;0
D1;03.02.2012;10;1;0;2;A;0;0;D;12;11;3;6;19;19;7;1;1;0;0;0
D1;04.02.2012;2;15;1;1;D;1;0;H;13;22;1;8;18;16;5;10;2;2;0;0
D1;04.02.2012;9;7;0;1;A;0;0;D;15;9;3;4;16;24;4;1;0;2;1;0
D1;04.02.2012;8;3;2;2;D;1;1;D;13;11;4;5;21;16;3;7;4;2;0;0
D1;04.02.2012;18;11;2;2;D;1;1;D;13;14;6;4;19;29;3;3;1;6;1;1
D1;04.02.2012;12;17;1;1;D;0;1;A;10;15;2;2;19;18;13;2;2;2;0;0
D1;04.02.2012;6;16;0;0;D;0;0;D;11;5;2;0;16;8;8;3;1;1;0;0
D1;05.02.2012;4;13;2;2;D;1;1;D;18;8;6;2;20;19;7;1;2;2;0;0
D1;05.02.2012;14;5;0;1;A;0;0;D;6;18;3;4;14;13;3;9;2;0;1;0
D1;10.02.2012;6;4;3;2;H;2;2;D;15;8;8;2;24;11;5;3;2;1;0;0
D1;11.02.2012;15;14;2;0;H;2;0;H;18;5;10;1;12;25;6;1;1;2;0;0
D1;11.02.2012;1;18;1;0;H;1;0;H;14;3;5;1;14;14;3;4;0;0;0;0
D1;11.02.2012;17;7;1;1;D;1;0;H;13;15;4;7;16;12;7;7;3;3;0;0
D1;11.02.2012;16;12;3;0;H;3;0;H;10;10;4;1;10;9;2;1;1;3;0;0
D1;11.02.2012;11;9;5;0;H;4;0;H;19;4;12;0;18;14;4;3;1;1;0;1
D1;11.02.2012;13;8;1;1;D;0;1;A;14;11;4;6;24;28;9;5;3;4;0;0
D1;12.02.2012;3;10;0;0;D;0;0;D;9;12;1;4;23;23;6;3;2;4;0;0
D1;12.02.2012;5;2;0;1;A;0;0;D;10;19;2;4;18;17;5;6;3;1;0;0
D1;17.02.2012;8;17;1;1;D;1;1;D;16;7;2;3;20;15;6;4;1;1;0;0
D1;18.02.2012;4;15;0;0;D;0;0;D;13;9;2;2;21;19;6;10;2;1;0;0
D1;18.02.2012;2;13;1;3;A;0;2;A;18;13;6;9;15;25;3;2;1;3;0;0
D1;18.02.2012;9;1;0;1;A;0;0;D;6;14;2;6;16;19;2;5;0;0;0;0
D1;18.02.2012;14;16;1;2;A;0;2;A;14;8;6;2;18;18;2;0;3;1;0;0
D1;18.02.2012;18;3;4;1;H;1;0;H;12;6;9;3;9;21;5;6;0;4;0;0
D1;18.02.2012;10;5;2;1;H;1;0;H;19;7;3;5;16;18;6;3;3;3;0;0
D1;19.02.2012;7;11;4;2;H;2;0;H;21;11;6;6;11;18;10;5;0;0;0;0
D1;19.02.2012;12;6;4;0;H;2;0;H;13;13;9;6;12;23;6;4;1;1;0;0
D1;24.02.2012;16;2;1;1;D;1;0;H;9;11;5;5;15;18;3;6;1;3;0;0
D1;25.02.2012;3;9;3;0;H;0;0;D;11;7;5;1;21;23;4;8;0;4;0;0
D1;25.02.2012;5;18;0;2;A;0;1;A;11;22;4;7;14;15;2;7;1;0;0;0
D1;25.02.2012;17;14;4;0;H;3;0;H;11;6;8;2;11;17;6;4;1;3;0;0
D1;25.02.2012;11;4;4;1;H;2;1;H;17;10;8;3;11;13;5;7;0;0;0;0
D1;25.02.2012;13;10;0;1;A;0;0;D;20;11;5;5;15;20;3;6;3;3;0;0
D1;25.02.2012;6;8;1;2;A;0;1;A;13;14;5;7;24;19;6;1;2;1;0;0
D1;26.02.2012;15;12;2;0;H;1;0;H;23;12;7;4;9;14;10;3;1;2;0;0
