Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;Spalte1;Spalte2;Spalte3;Spalte4;Spalte5;Spalte6;Spalte7;Spalte8;Spalte9;Spalte10;Spalte11;Spalte12;Spalte13;Spalte14;Spalte15;Spalte16;Spalte17;Spalte18;Spalte19
D1;10.09.2011;Dortmund;Hertha;1;2;A;0;0;D;25;11;6;6;13;7;4;1;1;3;0;0;;;;;;;;;;;;;;;;;;;
D1;10.09.2011;Mainz;Hoffenheim;0;4;A;0;2;A;13;9;2;5;18;24;7;4;0;0;0;0;;;;;;;;;;;;;;;;;;;
D1;10.09.2011;M'gladbach;Kaiserslautern;1;0;H;0;0;D;19;5;4;2;21;19;4;3;2;4;0;0;;;;;;;;;;;;;;;;;;;
D1;10.09.2011;Stuttgart;Hannover;3;0;H;1;0;H;17;9;7;5;8;13;9;4;0;1;0;0;;;;;;;;;;;;;;;;;;;
D1;10.09.2011;Werder Bremen;Hamburg;2;0;H;0;0;D;22;8;5;3;13;15;11;6;3;5;0;0;;;;;;;;;;;;;;;;;;;
D1;11.09.2011;FC Koln;Nurnberg;1;2;A;1;2;A;10;13;2;5;24;18;2;5;3;1;1;1;;;;;;;;;;;;;;;;;;;
D1;11.09.2011;Wolfsburg;Schalke 04;2;1;H;1;1;D;12;6;6;2;17;19;9;3;1;3;0;0;;;;;;;;;;;;;;;;;;;
D1;16.09.2011;Freiburg;Stuttgart;1;2;A;0;1;A;18;12;3;5;20;21;6;5;3;4;0;0;;;;;;;;;;;;;;;;;;;
D1;17.09.2011;Hamburg;M'gladbach;0;1;A;0;0;D;5;12;2;4;22;15;2;8;2;3;0;0;;;;;;;;;;;;;;;;;;;
D1;17.09.2011;Hertha;Augsburg;2;2;D;0;1;A;17;7;5;3;13;20;3;2;2;4;0;1;;;;;;;;;;;;;;;;;;;
D1;17.09.2011;Hoffenheim;Wolfsburg;3;1;H;2;0;H;14;10;8;6;15;15;4;6;3;1;0;1;;;;;;;;;;;;;;;;;;;
D1;17.09.2011;Kaiserslautern;Mainz;3;1;H;1;1;D;15;11;7;1;13;20;6;3;0;2;0;0;;;;;;;;;;;;;;;;;;;
D1;17.09.2011;Leverkusen;FC Koln;1;4;A;0;1;A;15;8;7;4;15;13;5;0;1;4;1;0;;;;;;;;;;;;;;;;;;;
D1;17.09.2011;Nurnberg;Werder Bremen;1;1;D;0;1;A;21;2;4;1;17;11;13;0;1;1;0;1;;;;;;;;;;;;;;;;;;;
D1;18.09.2011;Hannover;Dortmund;2;1;H;0;0;D;14;13;5;7;13;8;7;3;1;0;1;0;;;;;;;;;;;;;;;;;;;
D1;18.09.2011;Schalke 04;Bayern Munich;0;2;A;0;1;A;7;19;1;6;16;18;2;5;1;1;0;0;;;;;;;;;;;;;;;;;;;
D1;23.09.2011;Stuttgart;Hamburg;1;2;A;1;0;H;17;16;5;8;20;16;3;7;1;1;0;0;;;;;;;;;;;;;;;;;;;
D1;24.09.2011;Augsburg;Hannover;0;0;D;0;0;D;13;11;3;4;21;17;2;2;1;2;0;0;;;;;;;;;;;;;;;;;;;
D1;24.09.2011;Bayern Munich;Leverkusen;3;0;H;2;0;H;12;4;4;3;10;13;4;1;1;4;0;0;;;;;;;;;;;;;;;;;;;
D1;24.09.2011;Mainz;Dortmund;1;2;A;1;0;H;9;20;3;9;12;9;3;10;1;0;0;0;;;;;;;;;;;;;;;;;;;
D1;24.09.2011;M'gladbach;Nurnberg;1;0;H;0;0;D;21;7;9;1;13;18;9;4;1;1;0;0;;;;;;;;;;;;;;;;;;;
D1;24.09.2011;Schalke 04;Freiburg;4;2;H;1;1;D;16;14;7;10;19;17;7;1;1;1;0;0;;;;;;;;;;;;;;;;;;;
D1;24.09.2011;Wolfsburg;Kaiserslautern;1;0;H;0;0;D;6;11;3;2;13;19;4;5;1;2;1;0;;;;;;;;;;;;;;;;;;;
D1;25.09.2011;FC Koln;Hoffenheim;2;0;H;1;0;H;9;16;4;2;12;18;4;6;1;2;0;0;;;;;;;;;;;;;;;;;;;
D1;25.09.2011;Werder Bremen;Hertha;2;1;H;1;1;D;23;8;6;3;22;17;8;3;2;4;0;2;;;;;;;;;;;;;;;;;;;
D1;30.09.2011;Kaiserslautern;Stuttgart;0;2;A;0;0;D;22;11;3;5;16;16;9;4;2;1;0;0;;;;;;;;;;;;;;;;;;;
D1;01.10.2011;Dortmund;Augsburg;4;0;H;2;0;H;19;8;9;3;12;14;3;3;2;2;0;0;;;;;;;;;;;;;;;;;;;
D1;01.10.2011;Freiburg;M'gladbach;1;0;H;1;0;H;8;19;3;6;23;17;5;7;2;2;0;0;;;;;;;;;;;;;;;;;;;
D1;01.10.2011;Hertha;FC Koln;3;0;H;3;0;H;10;4;3;2;15;19;3;5;2;2;0;0;;;;;;;;;;;;;;;;;;;
D1;01.10.2011;Hoffenheim;Bayern Munich;0;0;D;0;0;D;17;5;5;2;19;26;6;2;1;4;0;0;;;;;;;;;;;;;;;;;;;
D1;01.10.2011;Leverkusen;Wolfsburg;3;1;H;1;0;H;20;7;9;1;17;20;6;4;1;2;0;0;;;;;;;;;;;;;;;;;;;
D1;01.10.2011;Nurnberg;Mainz;3;3;D;2;2;D;9;16;5;7;14;19;2;4;2;0;0;0;;;;;;;;;;;;;;;;;;;
D1;02.10.2011;Hamburg;Schalke 04;1;2;A;1;1;D;17;9;6;4;18;16;5;5;3;1;0;0;;;;;;;;;;;;;;;;;;;
D1;02.10.2011;Hannover;Werder Bremen;3;2;H;2;1;H;13;17;5;3;22;12;3;1;5;3;0;1;;;;;;;;;;;;;;;;;;;
D1;14.10.2011;Werder Bremen;Dortmund;0;2;A;0;1;A;24;9;5;5;16;19;11;3;1;1;0;1;;;;;;;;;;;;;;;;;;;
D1;15.10.2011;Bayern Munich;Hertha;4;0;H;3;0;H;19;3;8;0;8;13;3;2;0;1;0;0;;;;;;;;;;;;;;;;;;;
D1;15.10.2011;Mainz;Augsburg;0;1;A;0;0;D;18;10;5;6;19;18;9;4;3;2;0;0;;;;;;;;;;;;;;;;;;;
D1;15.10.2011;M'gladbach;Leverkusen;2;2;D;0;1;A;23;7;8;4;6;20;4;3;2;4;0;1;;;;;;;;;;;;;;;;;;;
D1;15.10.2011;Schalke 04;Kaiserslautern;1;2;A;0;1;A;14;14;4;6;14;21;4;5;3;3;1;1;;;;;;;;;;;;;;;;;;;
D1;15.10.2011;Stuttgart;Hoffenheim;2;0;H;0;0;D;14;15;7;5;22;26;3;3;3;1;0;0;;;;;;;;;;;;;;;;;;;
D1;15.10.2011;Wolfsburg;Nurnberg;2;1;H;1;0;H;12;12;5;6;20;24;1;3;2;2;0;0;;;;;;;;;;;;;;;;;;;
D1;16.10.2011;FC Koln;Hannover;2;0;H;1;0;H;10;12;3;6;22;17;1;5;3;4;0;0;;;;;;;;;;;;;;;;;;;
D1;16.10.2011;Freiburg;Hamburg;1;2;A;0;1;A;18;11;6;4;16;22;7;2;1;3;0;0;;;;;;;;;;;;;;;;;;;
D1;21.10.2011;Augsburg;Werder Bremen;1;1;D;0;0;D;10;22;3;7;16;11;4;7;3;2;0;0;;;;;;;;;;;;;;;;;;;
D1;22.10.2011;Dortmund;FC Koln;5;0;H;3;0;H;24;2;9;1;13;10;2;3;2;2;0;0;;;;;;;;;;;;;;;;;;;
D1;22.10.2011;Hamburg;Wolfsburg;1;1;D;0;1;A;19;8;7;4;23;24;8;4;2;1;0;0;;;;;;;;;;;;;;;;;;;
D1;22.10.2011;Hertha;Mainz;0;0;D;0;0;D;8;13;1;3;10;21;3;3;1;3;0;0;;;;;;;;;;;;;;;;;;;
D1;22.10.2011;Hoffenheim;M'gladbach;1;0;H;0;0;D;14;7;5;1;18;15;8;2;1;3;0;0;;;;;;;;;;;;;;;;;;;
D1;22.10.2011;Kaiserslautern;Freiburg;1;0;H;0;0;D;12;9;5;3;18;15;6;4;0;4;0;0;;;;;;;;;;;;;;;;;;;
D1;22.10.2011;Nurnberg;Stuttgart;2;2;D;1;0;H;17;13;7;2;14;14;4;4;1;2;0;0;;;;;;;;;;;;;;;;;;;
D1;23.10.2011;Hannover;Bayern Munich;2;1;H;1;0;H;12;19;3;8;19;13;2;5;4;1;1;1;;;;;;;;;;;;;;;;;;;
D1;23.10.2011;Leverkusen;Schalke 04;0;1;A;0;0;D;13;18;4;6;14;21;3;3;1;3;0;0;;;;;;;;;;;;;;;;;;;
D1;28.10.2011;Freiburg;Leverkusen;0;1;A;0;1;A;21;11;8;3;21;13;6;2;1;0;0;0;;;;;;;;;;;;;;;;;;;
D1;29.10.2011;Bayern Munich;Nurnberg;4;0;H;3;0;H;13;4;5;2;14;14;7;3;1;2;0;0;;;;;;;;;;;;;;;;;;;
D1;29.10.2011;Mainz;Werder Bremen;1;3;A;1;1;D;16;13;6;5;23;20;10;0;2;4;0;0;;;;;;;;;;;;;;;;;;;
